"Configure your payment option as defined on your Oney 3x4x contract. You can find the value directly from your Oney interface.","Konfigurieren Sie Ihre Zahlungsoption wie in Ihrem Oney 3x4x-Vertrag definiert. Sie finden den Wert direkt in Ihrer Oney-Oberfläche."
"Display payment confirmation page","Zahlungsbestätigungsseite anzeigen"
"By enabling this option, your customers will see the Worldline payment confirmation page","Wenn Sie diese Option aktivieren, sehen Ihre Kunden die Worldline-Zahlungsbestätigungsseite"
"If enabled, customers will see a dedicated confirmation screen after payment is processed, confirming the payment and providing key details.","Wenn aktiviert, sehen Kunden nach der Zahlungsabwicklung einen speziellen Bestätigungsbildschirm, der die Zahlung bestätigt und wichtige Details bereitstellt."
"Please note that the Mealvouchers method will work properly only if the 'Submit Customer Cart Items Data to Worldline' setting is enabled","Bitte beachten Sie, dass die Methode Mealvouchers nur dann richtig funktioniert, wenn die Einstellung „Warenkorbdaten des Kunden an Worldline senden“ aktiviert ist"
"By enabling mealvouchers, you will be able to configure your products as 'Food and Drink', 'Home and Garden', or 'Gift and Flowers'. Simply note that the Worldline platform only allows one type of products per basket, and the plugin will automatically update the products of the basket that are missing a product type to the value recognized in the basket; in case of a mixed basket all products will be set to 'Food and Drink'","Wenn Sie Essensgutscheine aktivieren, können Sie Ihre Produkte als 'Food and Drink', 'Home and Garden', und 'Gift and Flowers' konfigurieren. Beachten Sie einfach, dass die Worldline-Plattform nur einen Produkttyp pro Warenkorb zulässt und das Plugin automatisch die Produkte des Warenkorbs, denen ein Produkttyp fehlt, auf den im Warenkorb erkannten Wert aktualisiert; bei einem gemischten Warenkorb werden alle Produkte auf 'Food and Drink' gesetzt"
"Intersolve offers own branded gift cards, should you have own branded gift card(s), please enter the corresponding paymentProductId(s). It supports multiple paymentProductId values, make sure to separated them by a “,”. If you do not have own branded Intersolve gift card(s), please leave this empty.","Intersolve bietet Geschenkkarten mit eigener Marke an. Sollten Sie Geschenkkarten mit eigener Marke haben, geben Sie bitte die entsprechende(n) paymentProductId(s) ein. Es unterstützt mehrere paymentProductId-Werte. Stellen Sie sicher, dass Sie diese durch ein “,” trennen. Wenn Sie keine eigene Intersolve-Geschenkkarte(n) haben, lassen Sie dieses Feld bitte leer."
"Intersolve gift card(s)","Geschenkkarte(n) von Intersolve"
"Redirect Payment","Zahlung umleiten"
"Descriptor text will appear on your customers' bank statement.","Der Beschreibungstext erscheint auf dem Kontoauszug Ihrer Kunden."
"22 characters max","Maximal 22 Zeichen"
"Please ensure the mandate signing method is configured correctly if you offer SEPA Direct Debit to your customers; otherwise, transactions may be refused.","Bitte stellen Sie sicher, dass die Unterschriftsmethode für das Mandat korrekt konfiguriert ist, wenn Sie SEPA-Lastschrift an Ihre Kunden anbieten; andernfalls können Transaktionen abgelehnt werden."
"Please note that not all signature types are available to every user. Depending on your partner, please choose as follows:<br/>• Worldline: SMS, UNSIGNED, or AIS<br/>• PAYONE: UNSIGNED or TICK_BOX<br/>• ANZ or CAWL: this setting does not apply","Bitte beachten Sie, dass nicht alle Signaturarten für jeden Benutzer verfügbar sind. Je nach Partner wählen Sie bitte wie folgt:<br/>• Worldline: SMS, UNSIGNED oder AIS<br/>• PAYONE: UNSIGNED oder TICK_BOX<br/>• ANZ oder CAWL: diese Einstellung gilt nicht"
