"Configure your payment option as defined on your Oney 3x4x contract. You can find the value directly from your Oney interface.","Configura la tua opzione di pagamento come definita nel tuo contratto Oney 3x4x. Puoi trovare il valore direttamente dalla tua interfaccia Oney."
"Please note that the Mealvouchers method will work properly only if the 'Submit Customer Cart Items Data to Worldline' setting is enabled","Tieni presente che il metodo Mealvouchers funzionerà correttamente solo se l'impostazione "Invia i dati degli articoli del carrello del cliente a Worldline" è abilitata"
"By enabling mealvouchers, you will be able to configure your products as 'Food and Drink', 'Home and Garden', or 'Gift and Flowers'. Simply note that the Worldline platform only allows one type of products per basket, and the plugin will automatically update the products of the basket that are missing a product type to the value recognized in the basket; in case of a mixed basket all products will be set to 'Food and Drink'","Abilitando i buoni pasto, potrai configurare i tuoi prodotti come 'Food and Drink', 'Home and Garden', e 'Gift and Flowers'. Basta notare che la piattaforma Worldline consente solo un tipo di prodotti per paniere e il plug-in aggiornerà automaticamente i prodotti del paniere a cui manca un tipo di prodotto al valore riconosciuto nel paniere; in caso di paniere misto tutti i prodotti saranno impostati su 'Food and Drink'"
"Intersolve offers own branded gift cards, should you have own branded gift card(s), please enter the corresponding paymentProductId(s). It supports multiple paymentProductId values, make sure to separated them by a “,”. If you do not have own branded Intersolve gift card(s), please leave this empty.","Intersolve offre carte regalo con il proprio marchio, se si dispone di una o più carte regalo con il proprio marchio, inserire i corrispondenti paymentProductId. Supporta più valori paymentProductId, assicurati di separarli con un “,”. Se non disponi di carte regalo Intersolve con il tuo marchio, lascia vuoto questo campo."
"Intersolve gift card(s)","Carte regalo Intersolve"
"Redirect Payment","Reindirizzare il pagamento"
"Descriptor text will appear on your customers' bank statement.","Il testo descrittivo apparirà sull'estratto conto dei tuoi clienti."
"22 characters max","22 caratteri massimo"
"Display payment confirmation page","Mostra la pagina di conferma del pagamento"
"By enabling this option, your customers will see the Worldline payment confirmation page","Abilitando questa opzione, i vostri clienti vedranno la pagina di conferma del pagamento di Worldline"
"If enabled, customers will see a dedicated confirmation screen after payment is processed, confirming the payment and providing key details.","Se abilitato, i clienti vedranno uno schermo di conferma dedicato dopo l'elaborazione del pagamento, che conferma il pagamento e fornisce dettagli chiave."
"Please ensure the mandate signing method is configured correctly if you offer SEPA Direct Debit to your customers; otherwise, transactions may be refused.","Assicurarsi che il metodo di firma del mandato sia configurato correttamente se si offre il SEPA Direct Debit ai propri clienti; in caso contrario, le transazioni potrebbero essere rifiutate."
"Please note that not all signature types are available to every user. Depending on your partner, please choose as follows:<br/>• Worldline: SMS, UNSIGNED, or AIS<br/>• PAYONE: UNSIGNED or TICK_BOX<br/>• ANZ or CAWL: this setting does not apply","Si prega di notare che non tutti i tipi di firma sono disponibili per ogni utente. A seconda del partner, scegliere come segue:<br/>• Worldline: SMS, UNSIGNED o AIS<br/>• PAYONE: UNSIGNED o TICK_BOX<br/>• ANZ o CAWL: questa impostazione non si applica"
"Pay in installments","Paga a rate"
