"Configure your payment option as defined on your Oney 3x4x contract. You can find the value directly from your Oney interface.","Configurez votre option de paiement telle que définie sur votre contrat Oney 3x4x. Vous pouvez trouver la valeur exacte directement dans votre interface Oney."
"Please note that the Mealvouchers method will work properly only if the 'Submit Customer Cart Items Data to Worldline' setting is enabled","Veuillez noter que la méthode des Mealvouchers ne fonctionnera correctement que si le paramètre "Soumettre les données des articles du panier client à Worldline" est activé"
"By enabling mealvouchers, you will be able to configure your products as 'Food and Drink', 'Home and Garden', or 'Gift and Flowers'. Simply note that the Worldline platform only allows one type of products per basket, and the plugin will automatically update the products of the basket that are missing a product type to the value recognized in the basket; in case of a mixed basket all products will be set to 'Food and Drink'","EN activant les chèques-repas, vous aurez la possibilité de configurer vos produits en tant que 'Food and Drink', 'Home and Garden', ou 'Gift and Flowers'. Notez simplement que la plateforme Worldline n'autorise qu'un seul type de produits par panier, et le plugin mettra automatiquement à jour les produits du panier auxquels il manque un type de produit à la valeur reconnue dans le panier ; en cas de panier mixte tous les produits seront réglés sur 'Food and Drink'"
"Intersolve offers own branded gift cards, should you have own branded gift card(s), please enter the corresponding paymentProductId(s). It supports multiple paymentProductId values, make sure to separated them by a “,”. If you do not have own branded Intersolve gift card(s), please leave this empty.","Intersolve propose des cartes-cadeaux de sa propre marque. Si vous possédez une ou des cartes-cadeaux de votre propre marque, veuillez saisir le ou les identifiants de produit de paiement correspondants. Il prend en charge plusieurs valeurs de paymentProductId, assurez-vous de les séparer par un “,”. Si vous ne possédez pas de carte-cadeau Intersolve de votre propre marque, veuillez laisser ce champ vide."
"Intersolve gift card(s)","Carte(s) cadeau Intersolve"
"Redirect Payment","Rediriger le paiement"
"Descriptor text will appear on your customers' bank statement.","Le texte du descripteur apparaîtra sur le relevé bancaire de vos clients."
"22 characters max","22 caractères maximum"
"Display payment confirmation page","Afficher la page de confirmation de paiement"
"By enabling this option, your customers will see the Worldline payment confirmation page","En activant cette option, vos clients verront la page de confirmation de paiement de Worldline"
"If enabled, customers will see a dedicated confirmation screen after payment is processed, confirming the payment and providing key details.","Si activé, les clients verront un écran de confirmation dédié après le traitement du paiement, confirmant le paiement et fournissant les informations clés."
"Please ensure the mandate signing method is configured correctly if you offer SEPA Direct Debit to your customers; otherwise, transactions may be refused.","Veuillez vous assurer que le mode de signature du mandat est correctement configuré si vous proposez le Prélèvement SEPA à vos clients ; sinon, les transactions pourraient être refusées."
"Please note that not all signature types are available to every user. Depending on your partner, please choose as follows:<br/>• Worldline: SMS, UNSIGNED, or AIS<br/>• PAYONE: UNSIGNED or TICK_BOX<br/>• ANZ or CAWL: this setting does not apply","Veuillez noter que tous les types de signature ne sont pas accessibles à tous les utilisateurs. Selon votre partenaire, veuillez choisir comme suit :<br/>• Worldline : SMS, UNSIGNED ou AIS<br/>• PAYONE : UNSIGNED ou TICK_BOX<br/>• ANZ ou CAWL : ce paramètre ne s'applique pas"
